,Tackles__Tkl,Tackles__TklW,Tackles__Def 3rd,Tackles__Mid 3rd,Tackles__Att 3rd,Challenges__Tkl,Challenges__Att,Challenges__Tkl%,Challenges__Lost,Blocks__Blocks,Blocks__Sh,Blocks__Pass,Int,Tkl+Int,Clr,Err
0,19.0,13.0,10.0,9.0,0.0,8.0,15.0,53.3,7.0,14.0,5.0,9.0,14.0,33,17.0,1.0
1,23.0,15.0,14.0,7.0,2.0,10.0,18.0,55.6,8.0,9.0,1.0,8.0,14.0,37,20.0,0.0
2,17.0,9.0,10.0,6.0,1.0,7.0,12.0,58.3,5.0,19.0,6.0,13.0,15.0,32,10.0,0.0
3,16.0,9.0,8.0,6.0,2.0,9.0,18.0,50.0,9.0,13.0,0.0,13.0,15.0,31,16.0,0.0
4,11.0,6.0,5.0,4.0,2.0,2.0,6.0,33.3,4.0,6.0,1.0,5.0,11.0,22,15.0,1.0
5,17.0,11.0,4.0,9.0,4.0,8.0,12.0,66.7,4.0,18.0,7.0,11.0,8.0,25,18.0,0.0
6,12.0,7.0,7.0,2.0,3.0,6.0,18.0,33.3,12.0,8.0,2.0,6.0,12.0,24,34.0,1.0
7,16.0,9.0,11.0,5.0,0.0,6.0,10.0,60.0,4.0,2.0,0.0,2.0,6.0,22,32.0,1.0
8,17.0,8.0,7.0,9.0,1.0,5.0,16.0,31.3,11.0,10.0,1.0,9.0,12.0,29,22.0,1.0
9,16.0,11.0,12.0,2.0,2.0,5.0,13.0,38.5,8.0,11.0,1.0,10.0,19.0,35,27.0,1.0
10,24.0,15.0,14.0,10.0,0.0,15.0,34.0,44.1,19.0,9.0,3.0,6.0,21.0,45,30.0,0.0
11,18.0,13.0,7.0,9.0,2.0,11.0,18.0,61.1,7.0,9.0,2.0,7.0,18.0,36,18.0,0.0
12,15.0,10.0,2.0,9.0,4.0,4.0,8.0,50.0,4.0,9.0,1.0,8.0,12.0,27,2.0,1.0
13,18.0,9.0,14.0,4.0,0.0,9.0,20.0,45.0,11.0,13.0,5.0,8.0,18.0,36,24.0,1.0
14,16.0,10.0,9.0,6.0,1.0,7.0,14.0,50.0,7.0,10.0,4.0,6.0,25.0,41,22.0,1.0
15,20.0,14.0,14.0,6.0,0.0,11.0,18.0,61.1,7.0,5.0,2.0,3.0,18.0,38,11.0,0.0
16,24.0,15.0,15.0,8.0,1.0,14.0,21.0,66.7,7.0,10.0,4.0,6.0,7.0,31,33.0,0.0
17,7.0,7.0,5.0,1.0,1.0,1.0,4.0,25.0,3.0,12.0,5.0,7.0,16.0,23,15.0,0.0
18,15.0,8.0,9.0,5.0,1.0,9.0,21.0,42.9,12.0,9.0,3.0,6.0,21.0,36,38.0,0.0
19,14.0,9.0,5.0,7.0,2.0,5.0,9.0,55.6,4.0,10.0,2.0,8.0,16.0,30,20.0,0.0
20,16.0,12.0,9.0,6.0,1.0,5.0,10.0,50.0,5.0,9.0,2.0,7.0,14.0,30,23.0,1.0
21,11.0,7.0,5.0,6.0,0.0,5.0,13.0,38.5,8.0,6.0,2.0,4.0,10.0,21,19.0,0.0
22,12.0,7.0,7.0,4.0,1.0,4.0,13.0,30.8,9.0,1.0,0.0,1.0,5.0,17,12.0,0.0
23,18.0,12.0,8.0,8.0,2.0,4.0,13.0,30.8,9.0,7.0,1.0,6.0,12.0,30,22.0,0.0
24,13.0,10.0,3.0,6.0,4.0,8.0,16.0,50.0,8.0,10.0,6.0,4.0,8.0,21,7.0,0.0
25,25.0,18.0,19.0,4.0,2.0,11.0,32.0,34.4,21.0,14.0,7.0,7.0,15.0,40,30.0,1.0
26,22.0,15.0,17.0,5.0,0.0,14.0,27.0,51.9,13.0,8.0,6.0,2.0,10.0,32,40.0,0.0
27,11.0,9.0,1.0,7.0,3.0,5.0,8.0,62.5,3.0,9.0,2.0,7.0,4.0,15,8.0,0.0
28,14.0,11.0,11.0,1.0,2.0,5.0,25.0,20.0,20.0,6.0,4.0,2.0,7.0,21,21.0,0.0
29,20.0,11.0,7.0,11.0,2.0,6.0,22.0,27.3,16.0,5.0,2.0,3.0,15.0,35,23.0,0.0
30,16.0,11.0,6.0,6.0,4.0,11.0,20.0,55.0,9.0,5.0,0.0,5.0,16.0,32,15.0,0.0
31,28.0,17.0,13.0,12.0,3.0,12.0,25.0,48.0,13.0,10.0,2.0,8.0,22.0,50,26.0,0.0
32,20.0,14.0,10.0,9.0,1.0,8.0,18.0,44.4,10.0,16.0,5.0,11.0,15.0,35,25.0,0.0
33,23.0,12.0,13.0,9.0,1.0,12.0,17.0,70.6,5.0,13.0,5.0,8.0,23.0,46,39.0,0.0
34,24.0,14.0,13.0,9.0,2.0,9.0,18.0,50.0,9.0,12.0,2.0,10.0,12.0,36,29.0,0.0
35,19.0,15.0,9.0,8.0,2.0,9.0,13.0,69.2,4.0,7.0,1.0,6.0,10.0,29,10.0,0.0
36,25.0,17.0,11.0,14.0,0.0,9.0,14.0,64.3,5.0,14.0,4.0,10.0,8.0,33,46.0,0.0
37,19.0,14.0,11.0,6.0,2.0,6.0,18.0,33.3,12.0,7.0,0.0,7.0,22.0,41,19.0,0.0
38,16.0,8.0,11.0,2.0,3.0,7.0,17.0,41.2,10.0,13.0,4.0,9.0,14.0,30,30.0,1.0
39,17.0,12.0,7.0,8.0,2.0,3.0,7.0,42.9,4.0,12.0,2.0,10.0,9.0,26,8.0,0.0
40,18.0,13.0,6.0,11.0,1.0,8.0,10.0,80.0,2.0,8.0,3.0,5.0,17.0,35,9.0,0.0
41,21.0,15.0,10.0,10.0,1.0,7.0,18.0,38.9,11.0,5.0,0.0,5.0,19.0,40,26.0,0.0
42,12.0,7.0,7.0,3.0,2.0,2.0,8.0,25.0,6.0,10.0,2.0,8.0,9.0,21,10.0,1.0
43,15.0,10.0,12.0,1.0,2.0,5.0,14.0,35.7,9.0,9.0,1.0,8.0,15.0,30,35.0,0.0
44,29.0,17.0,18.0,8.0,3.0,14.0,22.0,63.6,8.0,17.0,3.0,14.0,15.0,44,16.0,0.0
45,24.0,19.0,10.0,14.0,0.0,11.0,18.0,61.1,7.0,14.0,6.0,8.0,13.0,37,23.0,0.0
46,20.0,11.0,9.0,10.0,1.0,6.0,12.0,50.0,6.0,13.0,1.0,12.0,19.0,39,13.0,0.0
47,18.0,14.0,11.0,6.0,1.0,7.0,13.0,53.8,6.0,12.0,3.0,9.0,9.0,27,12.0,0.0
48,24.0,16.0,10.0,10.0,4.0,10.0,24.0,41.7,14.0,13.0,5.0,8.0,10.0,34,20.0,0.0
49,13.0,10.0,8.0,4.0,1.0,6.0,8.0,75.0,2.0,12.0,3.0,9.0,6.0,19,18.0,1.0
50,12.0,6.0,5.0,4.0,3.0,7.0,16.0,43.8,9.0,10.0,3.0,7.0,14.0,26,31.0,0.0
51,15.0,11.0,9.0,4.0,2.0,7.0,19.0,36.8,12.0,9.0,4.0,5.0,24.0,39,16.0,0.0
52,15.0,12.0,12.0,3.0,0.0,7.0,16.0,43.8,9.0,11.0,2.0,9.0,7.0,22,32.0,0.0
53,20.0,15.0,4.0,15.0,1.0,4.0,11.0,36.4,7.0,7.0,1.0,6.0,7.0,27,20.0,0.0
54,13.0,13.0,7.0,6.0,0.0,4.0,10.0,40.0,6.0,6.0,0.0,6.0,10.0,23,10.0,0.0
55,14.0,9.0,8.0,5.0,1.0,6.0,18.0,33.3,12.0,15.0,7.0,8.0,14.0,28,16.0,0.0
56,12.0,7.0,7.0,5.0,0.0,5.0,15.0,33.3,10.0,10.0,3.0,7.0,12.0,24,20.0,0.0
57,10.0,6.0,5.0,4.0,1.0,3.0,7.0,42.9,4.0,3.0,2.0,1.0,8.0,18,28.0,1.0
58,16.0,11.0,6.0,7.0,3.0,6.0,19.0,31.6,13.0,8.0,0.0,8.0,13.0,29,12.0,0.0
59,17.0,12.0,9.0,7.0,1.0,3.0,9.0,33.3,6.0,7.0,2.0,5.0,11.0,28,23.0,0.0
60,21.0,13.0,8.0,8.0,5.0,7.0,14.0,50.0,7.0,12.0,1.0,11.0,23.0,44,29.0,0.0
61,20.0,13.0,13.0,7.0,0.0,11.0,20.0,55.0,9.0,10.0,2.0,8.0,12.0,32,26.0,0.0
62,23.0,18.0,13.0,10.0,0.0,15.0,26.0,57.7,11.0,15.0,5.0,10.0,11.0,34,28.0,0.0
63,14.0,7.0,5.0,7.0,2.0,4.0,13.0,30.8,9.0,9.0,2.0,7.0,15.0,29,24.0,0.0
64,26.0,17.0,20.0,4.0,2.0,17.0,36.0,47.2,19.0,9.0,1.0,8.0,11.0,37,29.0,0.0
65,14.0,12.0,7.0,4.0,3.0,6.0,12.0,50.0,6.0,6.0,2.0,4.0,16.0,30,16.0,0.0
66,14.0,9.0,10.0,4.0,0.0,6.0,16.0,37.5,10.0,12.0,5.0,7.0,8.0,22,31.0,0.0
67,17.0,10.0,7.0,9.0,1.0,2.0,4.0,50.0,2.0,13.0,4.0,9.0,7.0,24,16.0,0.0
68,21.0,17.0,8.0,6.0,7.0,10.0,19.0,52.6,9.0,13.0,3.0,10.0,5.0,26,11.0,0.0
69,30.0,19.0,19.0,9.0,2.0,10.0,20.0,50.0,10.0,6.0,4.0,2.0,12.0,42,42.0,0.0
70,23.0,16.0,8.0,11.0,4.0,9.0,13.0,69.2,4.0,15.0,6.0,9.0,6.0,29,17.0,0.0
71,20.0,17.0,9.0,7.0,4.0,7.0,18.0,38.9,11.0,12.0,5.0,7.0,8.0,28,27.0,0.0
72,20.0,14.0,8.0,9.0,3.0,7.0,14.0,50.0,7.0,9.0,2.0,7.0,14.0,34,13.0,1.0
