,Performance__SoTA,Performance__GA,Performance__Saves,Performance__Save%,Performance__CS,Performance__PSxG,Performance__PSxG+/-,Penalty Kicks__PKatt,Penalty Kicks__PKA,Penalty Kicks__PKsv,Penalty Kicks__PKm,Launched__Cmp,Launched__Att,Launched__Cmp%,Passes__Att (GK),Passes__Thr,Passes__Launch%,Passes__AvgLen,Goal Kicks__Att,Goal Kicks__Launch%,Goal Kicks__AvgLen,Crosses__Opp,Crosses__Stp,Crosses__Stp%,Sweeper__#OPA
0,3.0,1.0,2.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,23.8,30.0,4.0,46.7,33.0,7.0,100.0,57.3,11.0,1.0,9.1,2.0
1,5.0,0.0,4.0,100.0,1.0,1.6,1.6,1.0,0.0,1.0,0.0,9.0,26.0,34.6,26.0,5.0,80.8,49.7,5.0,100.0,67.8,8.0,0.0,0.0,0.0
2,6.0,1.0,5.0,83.3,0.0,0.8,-0.2,0.0,0.0,0.0,0.0,9.0,23.0,39.1,36.0,9.0,36.1,31.6,10.0,100.0,65.0,12.0,1.0,8.3,0.0
3,4.0,0.0,4.0,100.0,1.0,0.7,0.7,0.0,0.0,0.0,0.0,3.0,11.0,27.3,14.0,6.0,64.3,44.6,2.0,100.0,74.0,6.0,0.0,0.0,0.0
4,6.0,3.0,3.0,66.7,0.0,2.4,-0.6,1.0,1.0,0.0,0.0,7.0,15.0,46.7,32.0,0.0,37.5,34.7,6.0,50.0,36.3,14.0,0.0,0.0,0.0
5,5.0,2.0,3.0,60.0,0.0,1.7,-0.3,0.0,0.0,0.0,0.0,7.0,21.0,33.3,41.0,4.0,39.0,35.2,6.0,83.3,50.5,12.0,2.0,16.7,0.0
6,3.0,2.0,1.0,33.3,0.0,0.6,-1.4,0.0,0.0,0.0,0.0,6.0,14.0,42.9,16.0,4.0,50.0,43.9,6.0,100.0,61.8,7.0,2.0,28.6,0.0
7,6.0,2.0,4.0,66.7,0.0,3.2,1.2,0.0,0.0,0.0,0.0,1.0,13.0,7.7,21.0,1.0,47.6,41.1,10.0,30.0,37.4,22.0,1.0,4.5,1.0
8,6.0,1.0,5.0,75.0,0.0,1.5,-0.2,0.0,0.0,0.0,0.0,3.0,13.0,23.1,21.0,5.0,42.9,34.8,6.0,66.7,47.7,10.0,0.0,0.0,0.0
9,4.0,1.0,3.0,75.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,20.0,15.0,19.0,2.0,73.7,46.8,6.0,100.0,61.3,16.0,2.0,12.5,0.0
10,2.0,0.0,2.0,100.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0,11.0,30.0,36.7,21.0,1.0,81.0,49.2,13.0,100.0,61.6,21.0,1.0,4.8,0.0
11,2.0,0.0,2.0,100.0,1.0,0.2,0.2,0.0,0.0,0.0,0.0,4.0,10.0,40.0,18.0,4.0,38.9,34.6,4.0,75.0,56.3,14.0,1.0,7.1,1.0
12,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,33.3,18.0,0.0,11.1,23.9,6.0,66.7,51.8,0.0,0.0,,1.0
13,2.0,2.0,1.0,0.0,0.0,0.7,-0.3,0.0,0.0,0.0,0.0,10.0,14.0,71.4,33.0,3.0,24.2,29.8,10.0,60.0,41.1,8.0,0.0,0.0,0.0
14,8.0,3.0,5.0,62.5,0.0,1.9,-1.1,0.0,0.0,0.0,0.0,5.0,16.0,31.3,18.0,2.0,66.7,41.7,5.0,80.0,53.4,15.0,0.0,0.0,0.0
15,5.0,0.0,4.0,100.0,1.0,1.6,1.6,1.0,0.0,1.0,0.0,4.0,8.0,50.0,17.0,4.0,23.5,28.1,8.0,50.0,39.5,14.0,0.0,0.0,1.0
16,3.0,1.0,2.0,100.0,0.0,1.3,0.3,1.0,1.0,0.0,0.0,4.0,15.0,26.7,14.0,2.0,35.7,31.3,13.0,76.9,52.5,20.0,0.0,0.0,1.0
17,1.0,0.0,1.0,100.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0,8.0,19.0,42.1,17.0,1.0,88.2,53.7,4.0,100.0,65.5,11.0,1.0,9.1,0.0
18,6.0,1.0,5.0,83.3,0.0,2.6,1.6,0.0,0.0,0.0,0.0,6.0,27.0,22.2,32.0,2.0,59.4,44.7,8.0,100.0,62.3,24.0,1.0,4.2,0.0
