,SCA Types__SCA,SCA Types__PassLive,SCA Types__PassDead,SCA Types__TO,SCA Types__Sh,SCA Types__Fld,SCA Types__Def,GCA Types__GCA,GCA Types__PassLive,GCA Types__PassDead,GCA Types__TO,GCA Types__Sh,GCA Types__Fld,GCA Types__Def
0,15.0,7.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,22.0,11.0,2.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2,8.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,38.0,27.0,3.0,2.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
4,30.0,23.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0
5,23.0,19.0,2.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0
6,25.0,22.0,1.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0
7,18.0,14.0,1.0,2.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0
8,16.0,15.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
9,14.0,9.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
10,13.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,26.0,16.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,24.0,17.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,24.0,18.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,27.0,20.0,1.0,1.0,1.0,2.0,2.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0
16,15.0,8.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,26.0,18.0,1.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
18,15.0,9.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,23.0,17.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20,10.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,26.0,17.0,4.0,0.0,3.0,2.0,0.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0
22,17.0,13.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,20.0,13.0,4.0,2.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0
24,42.0,31.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0
25,19.0,9.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,20.0,15.0,3.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0
27,43.0,32.0,5.0,2.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
28,12.0,7.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,27.0,14.0,5.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
30,22.0,17.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
31,13.0,7.0,2.0,2.0,0.0,1.0,1.0,9.0,6.0,0.0,2.0,0.0,0.0,1.0
32,15.0,12.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
33,22.0,17.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
34,25.0,16.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,26.0,17.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,11.0,7.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
37,24.0,13.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,12.0,9.0,1.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
39,39.0,36.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
40,19.0,12.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
41,17.0,8.0,4.0,1.0,1.0,3.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0
42,35.0,27.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
43,10.0,6.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
44,20.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,21.0,16.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,12.0,5.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,23.0,18.0,2.0,1.0,1.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
48,15.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,34.0,23.0,2.0,3.0,3.0,2.0,1.0,9.0,6.0,1.0,1.0,1.0,0.0,0.0
50,27.0,22.0,2.0,2.0,1.0,0.0,0.0,6.0,3.0,1.0,2.0,0.0,0.0,0.0
51,19.0,13.0,0.0,1.0,1.0,3.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
