,Standard__Gls,Standard__Sh,Standard__SoT,Standard__SoT%,Standard__G/Sh,Standard__G/SoT,Standard__Dist,Standard__FK,Standard__PK,Standard__PKatt
0,0,8.0,4.0,50.0,0.0,0.0,22.8,0.0,0,1
1,1,14.0,3.0,21.4,0.07,0.33,22.0,2.0,0,0
2,0,5.0,4.0,80.0,0.0,0.0,25.4,1.0,0,0
3,1,22.0,6.0,27.3,0.05,0.17,17.0,2.0,0,0
4,2,16.0,5.0,31.3,0.13,0.4,17.4,1.0,0,0
5,3,12.0,5.0,41.7,0.17,0.4,19.7,1.0,1,1
6,2,13.0,6.0,46.2,0.15,0.33,18.2,1.0,0,0
7,2,9.0,3.0,33.3,0.22,0.67,19.9,0.0,0,0
8,1,9.0,4.0,44.4,0.11,0.25,11.5,0.0,0,0
9,1,9.0,6.0,66.7,0.11,0.17,17.0,0.0,0,0
10,0,8.0,2.0,25.0,0.0,0.0,16.8,0.0,0,0
11,0,13.0,2.0,15.4,0.0,0.0,15.3,0.0,0,0
12,1,15.0,2.0,13.3,0.07,0.5,20.6,3.0,0,0
13,0,3.0,0.0,0.0,0.0,,20.8,0.0,0,0
14,0,11.0,4.0,36.4,0.0,0.0,18.3,0.0,0,1
15,3,16.0,8.0,50.0,0.19,0.38,18.8,2.0,0,0
16,0,8.0,1.0,12.5,0.0,0.0,15.1,0.0,0,0
17,1,13.0,2.0,15.4,0.0,0.0,21.2,0.0,1,1
18,0,10.0,4.0,40.0,0.0,0.0,19.8,0.0,0,0
19,1,13.0,6.0,46.2,0.08,0.17,21.1,0.0,0,0
20,0,6.0,1.0,16.7,0.0,0.0,24.0,0.0,0,0
21,3,15.0,9.0,60.0,0.2,0.33,14.1,0.0,0,0
22,0,9.0,1.0,11.1,0.0,0.0,21.8,1.0,0,0
23,2,10.0,3.0,30.0,0.2,0.67,16.4,1.0,0,0
24,2,22.0,10.0,45.5,0.09,0.2,18.9,1.0,0,1
25,0,11.0,2.0,18.2,0.0,0.0,21.7,2.0,0,0
26,2,11.0,4.0,36.4,0.18,0.5,16.8,0.0,0,0
27,2,23.0,4.0,17.4,0.04,0.25,21.1,2.0,1,1
28,0,7.0,2.0,28.6,0.0,0.0,18.3,0.0,0,0
29,1,15.0,4.0,26.7,0.07,0.25,16.9,0.0,0,0
30,1,10.0,3.0,30.0,0.1,0.33,26.7,2.0,0,1
31,5,8.0,6.0,75.0,0.63,0.83,21.3,0.0,0,0
32,1,9.0,4.0,44.4,0.11,0.25,26.7,2.0,0,0
33,1,12.0,8.0,66.7,0.08,0.13,16.1,0.0,0,0
34,0,14.0,5.0,35.7,0.0,0.0,19.8,0.0,0,0
35,0,15.0,1.0,6.7,0.0,0.0,18.1,1.0,0,0
36,1,6.0,3.0,50.0,0.17,0.33,12.9,0.0,0,0
37,0,15.0,3.0,20.0,0.0,0.0,20.6,0.0,0,0
38,2,7.0,3.0,42.9,0.29,0.67,20.9,1.0,0,0
39,2,22.0,6.0,27.3,0.09,0.33,16.7,1.0,0,0
40,1,10.0,6.0,60.0,0.1,0.17,19.6,0.0,0,1
41,2,10.0,2.0,20.0,0.2,1.0,19.7,1.0,0,0
42,1,18.0,10.0,55.6,0.06,0.1,16.8,0.0,0,0
43,1,5.0,2.0,40.0,0.2,0.5,19.6,1.0,0,0
44,0,11.0,0.0,0.0,0.0,,21.2,0.0,0,0
45,0,13.0,4.0,30.8,0.0,0.0,20.3,0.0,0,0
46,0,7.0,1.0,14.3,0.0,0.0,13.7,0.0,0,0
47,3,12.0,6.0,50.0,0.25,0.5,13.3,0.0,0,0
48,0,9.0,1.0,11.1,0.0,0.0,21.7,0.0,0,0
49,5,20.0,9.0,45.0,0.25,0.56,13.3,3.0,0,0
50,4,15.0,4.0,26.7,0.27,1.0,14.1,0.0,0,0
51,2,11.0,4.0,36.4,0.18,0.5,18.1,2.0,0,0
52,2,7.0,4.0,57.1,0.29,0.5,11.5,0.0,0,0
53,0,12.0,7.0,58.3,0.0,0.0,25.6,2.0,0,0
54,1,20.0,3.0,15.0,0.05,0.33,17.1,3.0,0,0
55,0,5.0,3.0,60.0,0.0,0.0,15.7,0.0,0,0
56,3,14.0,7.0,50.0,0.21,0.43,15.7,0.0,0,0
57,1,8.0,3.0,37.5,0.13,0.33,22.7,1.0,0,0
58,1,14.0,6.0,42.9,0.07,0.17,20.2,1.0,0,0
59,3,10.0,8.0,80.0,0.3,0.38,15.9,0.0,0,0
60,1,10.0,4.0,40.0,0.1,0.25,23.3,3.0,0,0
61,0,5.0,2.0,40.0,0.0,0.0,18.8,0.0,0,0
62,1,13.0,5.0,38.5,0.08,0.2,19.3,1.0,0,0
63,1,9.0,2.0,22.2,0.11,0.5,19.9,0.0,0,0
64,1,13.0,4.0,30.8,0.08,0.25,21.7,1.0,0,0
65,2,7.0,5.0,71.4,0.29,0.4,21.4,1.0,0,0
66,1,12.0,3.0,25.0,0.08,0.33,26.3,2.0,0,0
67,2,17.0,7.0,41.2,0.12,0.29,15.8,1.0,0,0
68,1,17.0,4.0,23.5,0.06,0.25,21.8,0.0,0,0
69,0,9.0,4.0,44.4,0.0,0.0,19.6,1.0,0,0
70,0,16.0,2.0,12.5,0.0,0.0,24.2,1.0,0,0
71,3,16.0,6.0,37.5,0.19,0.5,15.9,0.0,0,0
72,0,13.0,0.0,0.0,0.0,,21.0,1.0,0,1
73,1,13.0,8.0,61.5,0.08,0.13,22.5,3.0,0,0
74,1,12.0,3.0,25.0,0.08,0.33,18.6,2.0,0,0
75,0,11.0,5.0,45.5,0.0,0.0,14.9,0.0,0,0
76,1,10.0,5.0,50.0,0.1,0.2,18.1,0.0,0,0
77,2,18.0,6.0,33.3,0.11,0.33,15.5,0.0,0,0
78,1,11.0,1.0,9.1,0.09,1.0,20.9,1.0,0,0
79,2,9.0,3.0,33.3,0.22,0.67,18.0,0.0,0,0
80,5,16.0,11.0,68.8,0.31,0.45,18.0,1.0,0,0
81,0,11.0,2.0,18.2,0.0,0.0,19.5,2.0,0,0
82,6,10.0,9.0,90.0,0.5,0.56,17.7,1.0,1,1
83,1,13.0,4.0,30.8,0.08,0.25,17.8,1.0,0,0
84,0,10.0,0.0,0.0,0.0,,23.8,0.0,0,0
85,0,12.0,1.0,8.3,0.0,0.0,22.3,0.0,0,0
86,1,11.0,6.0,54.5,0.09,0.17,17.8,0.0,0,1
87,2,16.0,9.0,56.3,0.13,0.22,20.2,1.0,0,0
88,0,8.0,3.0,37.5,0.0,0.0,20.7,0.0,0,0
89,1,15.0,3.0,20.0,0.07,0.33,16.0,0.0,0,0
90,0,27.0,6.0,22.2,0.0,0.0,14.3,0.0,0,0
91,1,12.0,3.0,25.0,0.08,0.33,20.0,0.0,0,0
92,1,14.0,9.0,64.3,0.07,0.11,17.5,0.0,0,0
93,0,7.0,0.0,0.0,0.0,,15.0,0.0,0,0
94,0,14.0,5.0,35.7,0.0,0.0,19.4,0.0,0,0
95,0,10.0,3.0,30.0,0.0,0.0,13.6,0.0,0,0
96,1,8.0,4.0,50.0,0.13,0.25,19.6,0.0,0,0
97,1,10.0,3.0,30.0,0.1,0.33,20.0,0.0,0,0
98,0,13.0,3.0,23.1,0.0,0.0,19.3,1.0,0,0
99,3,12.0,8.0,66.7,0.17,0.25,20.4,2.0,1,1
100,2,13.0,4.0,30.8,0.15,0.5,20.1,0.0,0,0
101,0,11.0,0.0,0.0,0.0,,20.8,0.0,0,0
102,2,21.0,7.0,33.3,0.1,0.29,18.4,1.0,0,0
103,1,8.0,3.0,37.5,0.13,0.33,18.8,1.0,0,0
104,3,7.0,6.0,85.7,0.29,0.33,16.2,0.0,1,1
105,3,16.0,7.0,43.8,0.19,0.43,16.6,0.0,0,0
106,0,13.0,2.0,15.4,0.0,0.0,19.6,1.0,0,0
107,1,9.0,5.0,55.6,0.11,0.2,18.4,2.0,0,0
108,3,16.0,4.0,25.0,0.13,0.5,19.9,2.0,1,1
109,1,21.0,6.0,28.6,0.05,0.17,20.1,0.0,0,0
110,0,6.0,1.0,16.7,0.0,0.0,14.3,0.0,0,0
111,4,17.0,8.0,47.1,0.24,0.5,15.4,1.0,0,0
112,0,8.0,3.0,37.5,0.0,0.0,22.6,2.0,0,0
113,2,9.0,3.0,33.3,0.22,0.67,15.7,0.0,0,0
114,0,9.0,0.0,0.0,0.0,,16.1,0.0,0,0
115,4,11.0,6.0,54.5,0.36,0.67,20.9,1.0,0,0
116,3,13.0,4.0,30.8,0.23,0.75,20.4,0.0,0,0
117,2,18.0,6.0,33.3,0.11,0.33,24.1,2.0,0,0
118,0,8.0,1.0,12.5,0.0,0.0,20.1,1.0,0,0
119,4,14.0,6.0,42.9,0.29,0.67,16.2,0.0,0,0
120,3,16.0,9.0,56.3,0.19,0.33,15.3,1.0,0,0
121,3,9.0,5.0,55.6,0.33,0.6,12.7,0.0,0,0
122,2,15.0,9.0,60.0,0.13,0.22,15.3,1.0,0,0
123,1,10.0,3.0,30.0,0.1,0.33,14.3,0.0,0,0
124,2,11.0,4.0,36.4,0.09,0.25,15.9,0.0,1,1
125,0,10.0,3.0,30.0,0.0,0.0,21.2,1.0,0,0
126,0,13.0,0.0,0.0,0.0,,17.0,1.0,0,0
127,2,8.0,3.0,37.5,0.25,0.67,13.4,1.0,0,0
