,xG,xGA,Standard__Gls,Standard__SoT,Standard__SoT%,Standard__G/Sh,Standard__G/SoT,Performance__Save%,Performance__CS,Performance__PSxG,Ast,KP,PPA,Pass Types__TB,Pass Types__Crs,GCA Types__GCA,GCA Types__PassLive,GCA Types__TO,GCA Types__Sh,Challenges__Lost,Clr,Err,Touches__Att Pen,Carries__CPA,Performance__Crs,Performance__PKwon,Performance__PKcon
0,1.1,1.3,0,4.0,50.0,0.0,0.0,66.7,0.0,1.0,0,7.0,2.0,1.0,10.0,0.0,0.0,0.0,0.0,7.0,17.0,1.0,10.0,4.0,10.0,1.0,0.0
1,1.3,1.1,1,3.0,21.4,0.07,0.33,100.0,1.0,1.6,0,7.0,10.0,0.0,12.0,1.0,0.0,0.0,1.0,8.0,20.0,0.0,18.0,0.0,12.0,0.0,1.0
2,0.2,1.4,0,4.0,80.0,0.0,0.0,83.3,0.0,0.8,0,3.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,7.0,3.0,8.0,0.0,0.0
3,1.4,0.2,1,6.0,27.3,0.05,0.17,100.0,1.0,0.7,1,17.0,9.0,4.0,15.0,2.0,2.0,0.0,0.0,9.0,16.0,0.0,34.0,11.0,15.0,0.0,0.0
4,1.8,2.1,2,5.0,31.3,0.13,0.4,66.7,0.0,2.4,1,14.0,7.0,1.0,14.0,4.0,3.0,0.0,1.0,4.0,15.0,1.0,23.0,7.0,14.0,0.0,1.0
5,2.1,1.8,3,5.0,41.7,0.17,0.4,60.0,0.0,1.7,1,9.0,6.0,1.0,16.0,4.0,3.0,0.0,0.0,4.0,18.0,0.0,14.0,3.0,16.0,1.0,0.0
6,2.2,0.7,2,6.0,46.2,0.15,0.33,33.3,0.0,0.6,1,9.0,7.0,0.0,33.0,4.0,3.0,0.0,0.0,12.0,34.0,1.0,25.0,2.0,33.0,0.0,0.0
7,0.7,2.2,2,3.0,33.3,0.22,0.67,66.7,0.0,3.2,2,7.0,4.0,1.0,8.0,4.0,2.0,0.0,0.0,4.0,32.0,1.0,13.0,4.0,8.0,0.0,0.0
8,2.4,1.3,1,4.0,44.4,0.11,0.25,75.0,0.0,1.5,0,6.0,9.0,3.0,20.0,2.0,2.0,0.0,0.0,11.0,22.0,1.0,20.0,5.0,20.0,0.0,0.0
9,1.3,2.4,1,6.0,66.7,0.11,0.17,75.0,0.0,2.0,0,6.0,2.0,2.0,14.0,2.0,0.0,1.0,0.0,8.0,27.0,1.0,13.0,5.0,14.0,0.0,0.0
10,0.5,1.2,0,2.0,25.0,0.0,0.0,100.0,1.0,0.4,0,7.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,19.0,30.0,0.0,12.0,1.0,14.0,0.0,0.0
11,1.2,0.5,0,2.0,15.4,0.0,0.0,100.0,1.0,0.2,0,11.0,8.0,3.0,26.0,0.0,0.0,0.0,0.0,7.0,18.0,0.0,19.0,4.0,26.0,0.0,0.0
12,1.1,0.1,1,2.0,13.3,0.07,0.5,,1.0,0.0,1,10.0,7.0,1.0,10.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,36.0,15.0,10.0,0.0,0.0
13,0.1,1.1,0,0.0,0.0,0.0,,0.0,0.0,0.7,0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,24.0,1.0,7.0,3.0,1.0,0.0,0.0
14,1.7,2.1,0,4.0,36.4,0.0,0.0,62.5,0.0,1.9,0,9.0,6.0,0.0,17.0,0.0,0.0,0.0,0.0,7.0,22.0,1.0,17.0,5.0,17.0,1.0,0.0
15,2.1,1.7,3,8.0,50.0,0.19,0.38,100.0,1.0,1.6,3,11.0,12.0,1.0,18.0,6.0,5.0,0.0,1.0,7.0,11.0,0.0,34.0,8.0,18.0,0.0,1.0
16,0.5,1.4,0,1.0,12.5,0.0,0.0,100.0,0.0,1.3,0,8.0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,7.0,33.0,0.0,9.0,3.0,13.0,0.0,1.0
17,1.4,0.5,1,2.0,15.4,0.0,0.0,100.0,1.0,0.4,0,11.0,7.0,0.0,29.0,2.0,0.0,1.0,0.0,3.0,15.0,0.0,26.0,10.0,29.0,1.0,0.0
