,Clr,Err,Challenges__Lost,Performance__Save%,Performance__CS,Performance__PSxG,GCA Types__GCA,GCA Types__PassLive,GCA Types__TO,GCA Types__Sh,Standard__Gls,Standard__G/Sh,Standard__G/SoT,Standard__SoT,Standard__SoT%
0,17.0,1.0,7.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,50.0
1,20.0,0.0,8.0,100.0,1.0,1.6,1.0,0.0,0.0,1.0,1,0.07,0.33,3.0,21.4
2,10.0,0.0,5.0,83.3,0.0,0.8,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,80.0
3,16.0,0.0,9.0,100.0,1.0,0.7,2.0,2.0,0.0,0.0,1,0.05,0.17,6.0,27.3
4,15.0,1.0,4.0,66.7,0.0,2.4,4.0,3.0,0.0,1.0,2,0.13,0.4,5.0,31.3
5,18.0,0.0,4.0,60.0,0.0,1.7,4.0,3.0,0.0,0.0,3,0.17,0.4,5.0,41.7
6,34.0,1.0,12.0,33.3,0.0,0.6,4.0,3.0,0.0,0.0,2,0.15,0.33,6.0,46.2
7,32.0,1.0,4.0,66.7,0.0,3.2,4.0,2.0,0.0,0.0,2,0.22,0.67,3.0,33.3
8,22.0,1.0,11.0,75.0,0.0,1.5,2.0,2.0,0.0,0.0,1,0.11,0.25,4.0,44.4
9,27.0,1.0,8.0,75.0,0.0,2.0,2.0,0.0,1.0,0.0,1,0.11,0.17,6.0,66.7
10,30.0,0.0,19.0,100.0,1.0,0.4,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,25.0
11,18.0,0.0,7.0,100.0,1.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,15.4
12,2.0,1.0,4.0,,1.0,0.0,1.0,1.0,0.0,0.0,1,0.07,0.5,2.0,13.3
13,24.0,1.0,11.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0
14,22.0,1.0,7.0,62.5,0.0,1.9,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,36.4
15,11.0,0.0,7.0,100.0,1.0,1.6,6.0,5.0,0.0,1.0,3,0.19,0.38,8.0,50.0
16,33.0,0.0,7.0,100.0,0.0,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,12.5
17,15.0,0.0,3.0,100.0,1.0,0.4,2.0,0.0,1.0,0.0,1,0.0,0.0,2.0,15.4
18,38.0,0.0,12.0,83.3,0.0,2.6,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,40.0
19,20.0,0.0,4.0,100.0,1.0,0.6,2.0,2.0,0.0,0.0,1,0.08,0.17,6.0,46.2
20,23.0,1.0,5.0,66.7,0.0,2.2,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,16.7
21,19.0,0.0,8.0,100.0,1.0,0.1,5.0,2.0,0.0,1.0,3,0.2,0.33,9.0,60.0
22,12.0,0.0,9.0,33.3,0.0,1.4,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,11.1
23,22.0,0.0,9.0,0.0,0.0,0.2,4.0,3.0,0.0,0.0,2,0.2,0.67,3.0,30.0
24,7.0,0.0,8.0,100.0,1.0,0.6,3.0,2.0,0.0,0.0,2,0.09,0.2,10.0,45.5
25,30.0,1.0,21.0,81.8,0.0,2.3,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,18.2
26,40.0,0.0,13.0,80.0,0.0,2.5,4.0,3.0,0.0,0.0,2,0.18,0.5,4.0,36.4
27,8.0,0.0,3.0,50.0,0.0,1.0,3.0,2.0,0.0,0.0,2,0.04,0.25,4.0,17.4
28,21.0,0.0,20.0,75.0,0.0,1.4,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,28.6
29,23.0,0.0,16.0,100.0,1.0,0.3,1.0,0.0,0.0,1.0,1,0.07,0.25,4.0,26.7
30,15.0,0.0,9.0,16.7,0.0,2.1,2.0,2.0,0.0,0.0,1,0.1,0.33,3.0,30.0
31,26.0,0.0,13.0,75.0,0.0,1.7,9.0,6.0,2.0,0.0,5,0.63,0.83,6.0,75.0
32,25.0,0.0,10.0,100.0,1.0,1.1,2.0,2.0,0.0,0.0,1,0.11,0.25,4.0,44.4
33,39.0,0.0,5.0,100.0,1.0,0.1,1.0,0.0,0.0,1.0,1,0.08,0.13,8.0,66.7
34,29.0,0.0,9.0,75.0,0.0,1.2,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,35.7
35,10.0,0.0,4.0,87.5,0.0,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,6.7
36,46.0,0.0,5.0,100.0,1.0,1.3,2.0,2.0,0.0,0.0,1,0.17,0.33,3.0,50.0
37,19.0,0.0,12.0,66.7,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,20.0
38,30.0,1.0,10.0,66.7,0.0,2.6,4.0,4.0,0.0,0.0,2,0.29,0.67,3.0,42.9
39,8.0,0.0,4.0,33.3,0.0,1.7,2.0,1.0,0.0,0.0,2,0.09,0.33,6.0,27.3
40,9.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,0.1,0.17,6.0,60.0
41,26.0,0.0,11.0,85.7,0.0,2.3,4.0,2.0,0.0,1.0,2,0.2,1.0,2.0,20.0
42,10.0,1.0,6.0,50.0,0.0,1.3,1.0,0.0,0.0,1.0,1,0.06,0.1,10.0,55.6
43,35.0,0.0,9.0,90.0,0.0,2.9,2.0,0.0,0.0,1.0,1,0.2,0.5,2.0,40.0
44,16.0,0.0,8.0,100.0,1.0,0.6,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0
45,23.0,0.0,7.0,,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,30.8
46,13.0,0.0,6.0,50.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,14.3
47,12.0,0.0,6.0,100.0,1.0,0.3,6.0,6.0,0.0,0.0,3,0.25,0.5,6.0,50.0
48,20.0,0.0,14.0,44.4,0.0,6.1,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,11.1
49,18.0,1.0,2.0,100.0,1.0,0.2,9.0,6.0,1.0,1.0,5,0.25,0.56,9.0,45.0
50,31.0,0.0,9.0,50.0,0.0,1.5,6.0,3.0,2.0,0.0,4,0.27,1.0,4.0,26.7
51,16.0,0.0,12.0,0.0,0.0,2.6,4.0,4.0,0.0,0.0,2,0.18,0.5,4.0,36.4
52,32.0,0.0,9.0,100.0,1.0,0.6,4.0,4.0,0.0,0.0,2,0.29,0.5,4.0,57.1
53,20.0,0.0,7.0,50.0,0.0,1.8,0.0,0.0,0.0,0.0,0,0.0,0.0,7.0,58.3
54,10.0,0.0,6.0,100.0,1.0,0.7,2.0,2.0,0.0,0.0,1,0.05,0.33,3.0,15.0
55,16.0,0.0,12.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,60.0
56,20.0,0.0,10.0,66.7,0.0,1.4,4.0,4.0,0.0,0.0,3,0.21,0.43,7.0,50.0
57,28.0,1.0,4.0,57.1,0.0,1.9,2.0,2.0,0.0,0.0,1,0.13,0.33,3.0,37.5
58,12.0,0.0,13.0,62.5,0.0,4.3,2.0,0.0,0.0,0.0,1,0.07,0.17,6.0,42.9
59,23.0,0.0,6.0,83.3,0.0,1.3,5.0,4.0,1.0,0.0,3,0.3,0.38,8.0,80.0
60,29.0,0.0,7.0,100.0,1.0,0.6,2.0,2.0,0.0,0.0,1,0.1,0.25,4.0,40.0
61,26.0,0.0,9.0,75.0,0.0,0.6,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,40.0
