,Time,Season,Venue,Round,Team,Opponent,GF,GA,Result,Points,xG_avg_last5,Touches__Att Pen_avg_last5,Performance__Crs_avg_last5,xGA_avg_last5,PPA_avg_last5,Carries__CPA_avg_last5,Performance__PKcon_avg_last5,Pass Types__TB_avg_last5,KP_avg_last5,Pass Types__Crs_avg_last5,Performance__PKwon_avg_last5,Ast_avg_last5,Sum_points_avg_last5,xG_opponent_avg_last5,Touches__Att Pen_opponent_avg_last5,Performance__Crs_opponent_avg_last5,xGA_opponent_avg_last5,PPA_opponent_avg_last5,Carries__CPA_opponent_avg_last5,Performance__PKcon_opponent_avg_last5,Pass Types__TB_opponent_avg_last5,KP_opponent_avg_last5,Pass Types__Crs_opponent_avg_last5,Performance__PKwon_opponent_avg_last5,Ast_opponent_avg_last5,Sum_points_opponent_avg_last5
0,2017-08-18 20:15:00,2017,0,1,Alaves,Leganes,0.0,1.0,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,23.0,25.0,1.9,12.0,0.0,0.0,0.0,9.0,25.0,0.0,1.0,48.4953
1,2017-08-26 18:15:00,2017,1,2,Alaves,Barcelona,0.0,2.0,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,13.0,8.0,1.8,1.0,2.0,0.0,0.0,5.0,8.0,0.0,2.0,0.09269999999999999
2,2017-09-10 18:30:00,2017,0,3,Alaves,Celta Vigo,0.0,1.0,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5001,16.9997,16.9993,2.5997900000000005,9.9994,1.0005,1.9998,0.0,5.0003,16.9993,0.0,0.00039999999999999964,9.999999999999991e-05
3,2017-09-17 12:00:00,2017,1,4,Alaves,Villarreal,0.0,3.0,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40040000000000003,10.0,14.997,1.5009000000000001,4.998,1.0,0.0,0.0,2.003,14.997,0.0,0.0,47.520900000000005
4,2017-09-20 21:00:00,2017,0,5,Alaves,Deportivo La Coruna,0.0,1.0,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,9.0,15.0,1.1,6.0,1.0,0.0,1.0,9.0,15.0,0.0,1.0,50.974999999999994
5,2017-09-23 16:15:00,2017,1,6,Alaves,Real Madrid,1.0,2.0,L,0,1.1,10.0,10.0,1.3,2.0,4.0,0.0,1.0,7.0,10.0,1.0,0.0,0.0,1.5,26.0,15.0,0.5,7.0,7.0,0.0,0.0,11.0,15.0,0.0,1.0,54.5638
6,2017-09-30 18:30:00,2017,0,7,Alaves,Levante,2.0,0.0,W,3,1.1,10.0,10.0,1.3,2.0,4.0,0.0,1.0,7.0,10.0,1.0,0.0,0.0,0.8,12.0,15.0,0.2,4.0,2.0,0.0,0.0,8.0,15.0,0.0,0.0,50.6385
7,2017-10-14 18:30:00,2017,1,8,Alaves,Real Sociedad,0.0,2.0,L,0,1.1,10.0,10.0,1.3,2.0,4.0,0.0,1.0,7.0,10.0,1.0,0.0,0.0,1.8,13.0,13.0,2.1,5.0,3.0,0.0,1.0,8.0,13.0,0.0,2.0,55.5224
8,2017-10-21 16:15:00,2017,0,9,Alaves,Real Betis,0.0,2.0,L,0,1.1,10.0,10.0,1.3,2.0,4.0,0.0,1.0,7.0,10.0,1.0,0.0,0.0,0.7,7.0,9.0,1.7,1.0,2.0,1.0,0.0,2.0,9.0,0.0,0.0,56.2491
9,2017-10-28 13:00:00,2017,1,10,Alaves,Valencia,1.0,2.0,L,0,1.1,10.0,10.0,1.3,2.0,4.0,0.0,1.0,7.0,10.0,1.0,0.0,0.0,0.2,10.0,8.0,0.4,1.0,1.0,0.0,0.0,3.0,8.0,0.0,0.0,47.9269
10,2017-11-04 18:30:00,2017,1,11,Alaves,Espanyol,1.0,0.0,W,3,1.1,10.0,10.0,1.3,2.0,4.0,0.0,1.0,7.0,10.0,1.0,0.0,0.0,1.3,24.0,21.0,0.9,12.0,5.0,0.0,0.0,10.0,21.0,0.0,1.0,47.027
11,2017-11-18 13:00:00,2017,0,12,Alaves,Getafe,1.0,4.0,L,0,1.1,10.0,10.0,1.3,2.0,4.0,0.0,1.0,7.0,10.0,1.0,0.0,0.0,0.8,11.0,12.0,1.1,3.0,4.0,0.0,0.0,5.0,12.0,0.0,1.0,47.0478
12,2017-11-25 13:00:00,2017,1,13,Alaves,Eibar,1.0,2.0,L,0,1.1,10.0,10.0,1.3,2.0,4.0,0.0,1.0,7.0,10.0,1.0,0.0,0.0,1.3,20.0,16.0,1.5,6.0,3.0,0.0,0.0,9.0,16.0,0.0,5.0,52.670300000000005
